turn_id,utterance_text,pause_duration_ms,speech_duration_ms,num_words,last_token,ends_with_punctuation,has_question_word,syntactic_completeness_score,is_backchannel,is_interruption,label_end_of_turn
turn_001,I want to book a flight to,422,1658,7,to,0,0,0.18,0,0,0
turn_002,I want to book a flight to Paris.,941,2386,8,paris,1,0,0.88,0,0,1
turn_003,Can you help me with my visa application?,782,2178,8,application,1,1,1.0,0,0,1
turn_004,Because I was thinking that maybe,397,1484,6,maybe,0,0,0.18,0,0,0
turn_005,Yeah.,633,409,1,yeah,1,0,1.0,1,0,1
turn_006,"Wait, I mean",204,799,3,mean,0,0,0.02,0,0,0
turn_007,I need to change my appointment from Tuesday to,424,2599,9,to,0,0,0.18,0,0,0
turn_008,I need to change my appointment from Tuesday to Friday.,922,3291,10,friday,1,0,0.88,0,0,1
turn_009,What time does the last train leave?,787,1757,7,leave,1,1,1.0,0,0,1
turn_010,What time does the last train,381,1293,6,train,0,1,0.65,0,0,0
turn_011,Okay.,761,288,1,okay,1,0,1.0,1,0,1
turn_012,Right,455,274,1,right,0,0,0.7,1,0,1
turn_013,Well I was hoping you could,271,1457,6,could,0,0,0.45,0,0,0
turn_014,Could you send the confirmation by email?,1021,2060,7,email,1,1,1.0,0,0,1
turn_015,Could you send the confirmation by,449,1435,6,by,0,1,0.65,0,0,0
turn_016,I am looking for a quiet hotel near the station.,1187,3369,10,station,1,0,0.88,0,0,1
turn_017,I am looking for a quiet hotel near,471,2092,8,near,0,0,0.53,0,0,0
turn_018,"No, that's not what I meant.",846,1421,6,meant,1,0,0.8,0,0,1
turn_019,"No, that's not",312,704,3,not,0,0,0.45,0,0,0
turn_020,Um I think the reference number is,294,1917,7,is,0,0,0.45,0,0,0
turn_021,The reference number is A five three nine.,856,2518,8,nine,1,0,0.8,0,0,1
turn_022,Actually could you check another date?,760,1806,6,date,1,1,1.0,0,0,1
turn_023,Actually could you check another,408,1343,5,another,0,0,0.53,0,0,0
turn_024,I live in Barcelona but I am moving to,406,2316,9,to,0,0,0.18,0,0,0
turn_025,I live in Barcelona but I am moving to Lyon next month.,1088,3666,12,month,1,0,0.88,0,0,1
turn_026,Mhm.,663,168,1,mhm,1,0,1.0,1,0,1
turn_027,Sure.,705,184,1,sure,1,0,1.0,1,0,1
turn_028,Thanks.,820,322,1,thanks,1,0,1.0,1,0,1
turn_029,I was wondering if,216,974,4,if,0,0,0.1,0,0,0
turn_030,I was wondering if you have appointments tomorrow.,815,2458,8,tomorrow,1,0,0.88,0,0,1
turn_031,Can I pay with a student discount?,752,1747,7,discount,1,1,1.0,0,0,1
turn_032,Can I pay with a student,406,1299,6,student,0,1,0.65,0,0,0
turn_033,The thing is,290,829,3,is,0,0,0.45,0,0,0
turn_034,"The thing is, I already uploaded the document.",989,2436,8,document,1,0,0.8,0,0,1
turn_035,"Sorry, can you repeat that?",752,1336,5,that,1,1,0.57,0,0,1
turn_036,"Sorry, can you",243,576,3,you,0,0,0.37,0,0,0
turn_037,I need it before Monday because,362,1460,6,because,0,0,0.18,0,0,0
turn_038,I need it before Monday because my flight is early.,1047,2916,10,early,1,0,0.88,0,0,1
turn_039,So the address is,384,956,4,is,0,0,0.37,0,0,0
turn_040,So the address is 14 Oxford Road.,827,1886,6,road,1,0,0.8,0,0,1
turn_041,Do I need to bring my passport?,864,1643,7,passport,1,1,1.0,0,0,1
turn_042,Do I need to bring my,445,1108,6,my,0,1,0.65,0,0,0
turn_043,Yes,480,231,1,yes,0,0,0.7,1,0,1
turn_044,No.,637,142,1,no,1,0,0.8,0,0,1
turn_045,I mean the second option,623,1137,5,option,0,0,0.45,0,0,1
turn_046,I mean the second,248,845,4,second,0,0,0.37,0,0,0
turn_047,And then after that,347,880,4,that,0,0,0.1,0,0,0
turn_048,And then after that I want to cancel the old booking.,1051,3079,11,booking,1,0,0.88,0,0,1
turn_049,My account number is seven four two,572,2266,7,two,0,0,0.45,0,0,0
turn_050,My account number is seven four two eight.,910,2467,8,eight,1,0,0.8,0,0,1
turn_051,"Wait, I mean the morning slot.",837,1429,6,slot,1,0,0.8,0,0,1
turn_052,"Wait, I mean the morning",402,1137,5,morning,0,0,0.45,0,0,0
turn_053,Is there a direct bus to the airport?,938,1926,8,airport,1,1,1.0,0,0,1
turn_054,Is there a direct bus to,337,1213,6,to,0,1,0.3,0,0,0
turn_055,I need help with my residence permit renewal.,1019,2551,8,renewal,1,0,0.8,0,0,1
turn_056,I need help with my residence permit,396,1885,7,permit,0,0,0.45,0,0,0
turn_057,The cheaper ticket is fine.,977,1319,5,fine,1,0,0.88,0,0,1
turn_058,The cheaper ticket is,299,837,4,is,0,0,0.45,0,0,0
turn_059,Could we maybe move it to next,384,1402,7,next,0,1,0.65,0,0,0
turn_060,Could we maybe move it to next Wednesday?,1003,2138,8,wednesday,1,1,1.0,0,0,1
turn_061,I am not sure if that works,711,1778,7,works,0,0,0.53,0,0,1
turn_062,I am not sure if,195,938,5,if,0,0,0.18,0,0,0
turn_063,There are three people travelling with me.,930,2073,7,me,1,0,0.88,0,0,1
turn_064,There are three people travelling with,466,1579,6,with,0,0,0.18,0,0,0
turn_065,Okay that makes sense.,766,795,4,sense,1,0,0.8,0,0,1
turn_066,Okay so,215,403,2,so,0,0,0.37,0,0,0
turn_067,You know I was trying to,243,1183,6,to,0,0,0.1,0,0,0
turn_068,You know I was trying to update the form online.,921,2800,10,online,1,0,0.8,0,0,1
turn_069,Can you check whether the office is open on Saturdays?,967,2800,10,saturdays,1,1,1.0,0,0,1
turn_070,Can you check whether the office is open on,382,2354,9,on,0,1,0.65,0,0,0
turn_071,I booked it under my university email.,912,2060,7,email,1,0,0.88,0,0,1
turn_072,I booked it under my,321,935,5,my,0,0,0.53,0,0,0
turn_073,Please cancel the appointment.,870,1110,4,appointment,1,0,0.8,0,0,1
turn_074,Please cancel the,291,636,3,the,0,0,0.45,0,0,0
turn_075,The problem started after I changed my password.,961,2554,8,password,1,0,0.88,0,0,1
turn_076,The problem started after,347,879,4,after,0,0,0.45,0,0,0
turn_077,Could you tell me where to upload the file?,858,2281,9,file,1,1,1.0,0,0,1
turn_078,Could you tell me where to upload,385,1778,7,upload,0,1,0.65,0,0,0
turn_079,I have already tried restarting the app.,869,1948,7,app,1,0,0.88,0,0,1
turn_080,I have already tried,289,673,4,tried,0,0,0.45,0,0,0
turn_081,It should arrive before the end of the week.,1054,2670,9,week,1,0,0.88,0,0,1
turn_082,It should arrive before the end of,416,1987,7,of,0,0,0.53,0,0,0
turn_083,Sorry I lost the connection.,822,1231,5,connection,1,0,0.8,0,0,1
turn_084,Sorry I lost the,277,757,4,the,0,0,0.37,0,0,0
turn_085,I need a receipt for my reimbursement.,916,1844,7,reimbursement,1,0,0.88,0,0,1
turn_086,I need a receipt for,426,1034,5,for,0,0,0.18,0,0,0
turn_087,Is that included in the price?,781,1412,6,price,1,1,1.0,0,0,1
turn_088,Is that included in,371,978,4,in,0,1,0.57,0,0,0
turn_089,No but I can send it later.,957,1803,7,later,1,0,0.88,0,0,1
turn_090,No but I can,213,766,4,can,0,0,0.45,0,0,0
turn_091,The appointment was cancelled without notice.,1019,2114,6,notice,1,0,0.88,0,0,1
turn_092,The appointment was cancelled without,463,1510,5,without,0,0,0.53,0,0,0
turn_093,I think so.,711,632,3,so,1,0,0.72,0,0,1
turn_094,I think,270,296,2,think,0,0,0.45,0,0,0
turn_095,That's all.,803,602,2,all,1,0,0.8,0,0,1
turn_096,That's,242,165,1,that's,0,0,0.45,0,0,0
turn_097,I need to speak with someone from admissions.,888,2177,8,admissions,1,0,0.8,0,0,1
turn_098,I need to speak with someone from,393,1722,7,from,0,0,0.45,0,0,0
turn_099,Can you hold on for a second?,721,1348,7,second,1,1,1.0,0,0,1
turn_100,Can you hold on for,327,983,5,for,0,1,0.3,0,0,0
turn_101,I was told to call this number.,773,1646,7,number,1,0,0.8,0,0,1
turn_102,I was told to call,230,1015,5,call,0,0,0.53,0,0,0
turn_103,My train leaves at half past six.,838,1927,7,six,1,0,0.88,0,0,1
turn_104,My train leaves at,245,833,4,at,0,0,0.45,0,0,0
turn_105,The invoice should be in my name.,917,1706,7,name,1,0,0.88,0,0,1
turn_106,The invoice should be in,278,1073,5,in,0,0,0.53,0,0,0
turn_107,"I uploaded the document yesterday, but",457,1756,6,but,0,0,0.1,0,0,0
turn_108,"I uploaded the document yesterday, but it still says pending.",908,3202,10,pending,1,0,0.8,0,0,1
turn_109,Could you maybe- [interrupted],154,618,4,interrupted,0,1,0.27,0,1,0
turn_110,I need the blue- [interrupted],224,713,5,interrupted,0,0,0.23,0,1,0
turn_111,The date is the twenty- [interrupted],221,921,6,interrupted,0,0,0.23,0,1,0
turn_112,"Yes, exactly.",639,564,2,exactly,1,0,0.8,0,0,1
turn_113,"Right, that is correct.",819,942,4,correct,1,0,0.8,0,0,1
turn_114,I want to ask about,853,959,5,about,0,0,0.18,0,0,0
turn_115,The reason I called is because,841,1456,6,because,0,0,0.1,0,0,0
turn_116,Could you help me with,696,1177,5,with,0,1,0.3,0,0,0
turn_117,I am trying to find,857,1152,5,find,0,0,0.53,0,0,0
turn_118,If possible I would like to,741,1442,6,to,0,0,0.1,0,0,0
turn_119,My question is about,755,862,4,about,0,0,0.1,0,0,0
turn_120,The form asks for,825,1062,4,for,0,0,0.1,0,0,0
turn_121,I need to travel on,807,1309,5,on,0,0,0.53,0,0,0
turn_122,Yes.,286,304,1,yes,1,0,1.0,1,0,1
turn_123,"Okay, thanks.",475,406,2,thanks,1,0,0.8,0,0,1
turn_124,No thanks.,474,303,2,thanks,1,0,0.8,0,0,1
turn_125,That's correct.,528,456,2,correct,1,0,0.8,0,0,1
turn_126,Perfect.,432,253,1,perfect,1,0,0.8,0,0,1
turn_127,Not today.,412,421,2,today,1,0,0.8,0,0,1
turn_128,Tomorrow morning.,587,497,2,morning,1,0,0.8,0,0,1
turn_129,Two people.,466,488,2,people,1,0,0.8,0,0,1
turn_130,In Madrid.,579,488,2,madrid,1,0,0.8,0,0,1
turn_131,By email.,404,462,2,email,1,0,0.8,0,0,1
turn_132,That works.,407,506,2,works,1,0,0.8,0,0,1
turn_133,I agree.,534,329,2,agree,1,0,0.8,0,0,1
